,listing_name,address,property_management_name,permit_value,floors,units_or_Size,building_type,image,url,source_name,permit_Value,units_or_size
0,The Abraham,"2180 Robie Street, Halifax",Commons View Holdings Ltd,$22.4M,9,108,Mixed Use,https://halifaxdevelopments.files.wordpress.com/2023/12/20231230_1443154408972597760767942.jpg?w=1024,https://halifaxdevelopments.ca/2023/12/30/the-abraham/,Halifax Regional Municiaplity development blog,,
1,The Avalon,"22 Hamlet Lane, Dartmouth",Pinnacle Construction,$17.0 M,10,90,1,https://halifaxdevelopments.files.wordpress.com/2024/03/20240301_1401342038598857651699188.jpg?w=1024,https://halifaxdevelopments.ca/2024/03/02/22-hamlet-lane-3/,Halifax Regional Municiaplity development blog,,
2,22 Hamlet Lane,"22 Hamlet Lane, Dartmouth",Unknown,$17.0 M,10,90,0,https://halifaxdevelopments.files.wordpress.com/2024/01/20240124_1348022331068749895340363.jpg?w=1024,https://halifaxdevelopments.ca/2024/01/27/22-hamlet-lane-2/,Halifax Regional Municiaplity development blog,,
3,22 Hamlet Lane,"22 Hamlet Lane, Dartmouth",Pinnacle Homes,-1,10,90,-1,https://halifaxdevelopments.files.wordpress.com/2024/01/20240105_1428362291015044194480343.jpg?w=1024,https://halifaxdevelopments.ca/2024/01/07/22-hamlet-lane/,Halifax Regional Municiaplity development blog,,
4,22 Hamlet Lane,22 Hamlet Lane,-1,-1,-1,-1,-1,-1,-1,Halifax Regional Municiaplity development blog,,
5,Admiral’s Corner Apartments,"2828 Gottingen Street, Halifax",Cornerstone Developments Ltd,$3.9M,7,40,1,https://halifaxdevelopments.files.wordpress.com/2023/12/20231209_133021.jpg?w=1024,https://halifaxdevelopments.ca/2023/12/10/admirals-corner-apartments/,Halifax Regional Municiaplity development blog,,
6,Bedford Square,"40 Taviton Street, Halifax",Shannex Developments,$42.1 M,8,154,Residential,https://halifaxdevelopments.files.wordpress.com/2024/02/20240211_1340378861999465470079838.jpg?w=1024,https://halifaxdevelopments.ca/2024/02/12/bedford-square/,Halifax Regional Municiaplity development blog,,
7,Bedford Square,-1,-1,-1,-1,-1,-1,https://halifaxdevelopments.files.wordpress.com/2023/12/20231225_1248228032418637382502043.jpg?w=1024,https://halifaxdevelopments.ca/2023/12/27/shannex-bedford/,Halifax Regional Municiaplity development blog,,
8,The Bello,"2 Montebello Drive, Dartmouth",Yellowstone Commercial,,6,42,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2024/02/20240202_1410081902631161031777287.jpg?w=1024,https://halifaxdevelopments.ca/2024/02/04/the-bello-2/,Halifax Regional Municiaplity development blog,$9.2M,
9,The Bello,"5 Montobello Drive, Dartmouth",Yellowstone Commercial Holdings Ltd,,5,40,Mixed Use,https://halifaxdevelopments.files.wordpress.com/2023/12/20231212_141152.jpg?w=1024,https://halifaxdevelopments.ca/2023/12/14/the-bello/,Halifax Regional Municiaplity development blog,$9.2M,
10,Boa Vista,"153 Wyse Road, Dartmouth",RoMa Developments,$20.6 M,16,114,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2024/02/20240207_1421274424170378527968547.jpg?w=1024,https://halifaxdevelopments.ca/2024/02/09/boa-vista/,Halifax Regional Municiaplity development blog,,
11,153 Wyse Road,"153 Wyse Road, Dartmouth",-1,$20.6M,16,114,Mixed Use,https://halifaxdevelopments.files.wordpress.com/2023/12/20231218_1414084092097612748112833.jpg?w=1024,https://halifaxdevelopments.ca/2023/12/20/153-wyse-road-3/,Halifax Regional Municiaplity development blog,,
12,-1,"153 Wyse Road, Dartmouth",-1,-1,16,114,-1,-1,-1,Halifax Regional Municiaplity development blog,,
13,-1,153 WYSE ROAD,-1,-1,16,114,Mixed-Use,-1,-1,Halifax Regional Municiaplity development blog,,
14,Cedar Ridge,"35 Lynnett Road, Halifax",FH Development Group,$5.0 M,4,40,0,https://halifaxdevelopments.files.wordpress.com/2024/01/20240128_1529335070260692190782430.jpg?w=1024,https://halifaxdevelopments.ca/2024/01/30/cedar-ridge/,Halifax Regional Municiaplity development blog,,
15,Compass Co-Operative,"2095 Maitland Street, Halifax",Compass Co-operative Homes Ltd,-1,6,57,1,https://halifaxdevelopments.files.wordpress.com/2024/01/20240101_1353375892600938231458752.jpg?w=1024,https://halifaxdevelopments.ca/2024/01/02/compass-co-operative/,Halifax Regional Municiaplity development blog,,
16,Compass Co-Op Housing,"2095 Maitland Street, Halifax",-1,-1,-1,-1,-1,https://halifaxdevelopments.files.wordpress.com/2023/12/20231210_133127.jpg?w=1024,https://halifaxdevelopments.ca/2023/12/12/compass-co-op-housing/,Halifax Regional Municiaplity development blog,,
17,Compass Co-Operative Housing,-1,-1,-1,-1,-1,-1,-1,-1,Halifax Regional Municiaplity development blog,,
18,Compass Co-Op (2095 Maitland),-1,-1,-1,-1,-1,-1,-1,-1,Halifax Regional Municiaplity development blog,,
19,Compass Cooperative (2095 Maitland),-1,-1,-1,-1,-1,-1,-1,-1,Halifax Regional Municiaplity development blog,,
20,Compass Cooperative (2095-2119 Maitland),-1,-1,-1,6,57,-1,-1,-1,Halifax Regional Municiaplity development blog,,
21,The Cunard,"1325 Lower Water Street, Halifax",Southwest Properties,$73.1M,16,235,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2024/03/20240302_1430185744957435341858950.jpg?w=1024,https://halifaxdevelopments.ca/2024/03/03/the-cunard-2/,Halifax Regional Municiaplity development blog,,
22,CUNARD RESIDENCES,Lower Water & Morris,Not specified,-1,19,-1,Residential and Commercial,https://halifaxdevelopments.files.wordpress.com/2023/11/20231126_135219.jpg?w=1024,https://halifaxdevelopments.ca/2023/11/27/cunard-residences/,Halifax Regional Municiaplity development blog,,
23,The Cunard,1475 Lower Water,Not specified,-1,-1,-1,-1,-1,-1,Halifax Regional Municiaplity development blog,,
24,The Cypress,"57 Hamlet Lane, Dartmouth",Pinnacle Construction,$29.6 M,10,148,Residential,https://halifaxdevelopments.files.wordpress.com/2024/03/20240301_1358076198606969725330155.jpg?w=1024,https://halifaxdevelopments.ca/2024/03/02/57-hamlet-lane/,Halifax Regional Municiaplity development blog,,
25,Dartmouth Towers,"20 Best Street, Dartmouth",Manga Hotels,-1,40,1350,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2024/02/20240221_1359433056185636001463219.jpg?w=1024,https://halifaxdevelopments.ca/2024/02/22/dartmouth-towers-2/,Halifax Regional Municiaplity development blog,,
26,Dartmouth Towers,"20 Best Street, Dartmouth",Manga Hotels Construction,-1,33,,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2024/02/20240201_134610272703065287873979.jpg?w=1024,https://halifaxdevelopments.ca/2024/02/03/dartmouth-towers/,Halifax Regional Municiaplity development blog,,-1
27,The Delmore,"2393 Maynard Street, Halifax",R C Jane,,6,20,Residential,https://halifaxdevelopments.files.wordpress.com/2024/03/20240318_133406697881672500589822.jpg?w=1024,https://halifaxdevelopments.ca/2024/03/20/the-delmore-9/,Halifax Regional Municiaplity development blog,$3.6M,
28,The Delmore,"2393 Maynard Street, Halifax",R C Jane,,6,20,Residential,https://halifaxdevelopments.files.wordpress.com/2024/03/20240305_125301778967201904868927.jpg?w=1024,https://halifaxdevelopments.ca/2024/03/06/the-delmore-8/,Halifax Regional Municiaplity development blog,$3.6M,
29,The Delmore,"2393 Maynard Street, Halifax",R C Jane,,6,20,Residential,https://halifaxdevelopments.files.wordpress.com/2024/02/20240229_1328405709809682649011303.jpg?w=1024,https://halifaxdevelopments.ca/2024/03/01/the-delmore-7/,Halifax Regional Municiaplity development blog,$3.6M,
30,The Delmore,"2393 Maynard Street, Halifax",R C Jane,,6,20,Residential,https://halifaxdevelopments.files.wordpress.com/2024/02/20240221_1323347780681235009484672.jpg?w=1024,https://halifaxdevelopments.ca/2024/02/22/the-delmore-6/,Halifax Regional Municiaplity development blog,$3.6M,
31,The Delmore,"2393 Maynard Street, Halifax",R C Jane,,6,20,Residential,https://halifaxdevelopments.files.wordpress.com/2024/02/20240215_1332266231854189083232498.jpg?w=1024,https://halifaxdevelopments.ca/2024/02/16/the-delmore-5/,Halifax Regional Municiaplity development blog,$3.6M,
32,The Delmore,"2393 Maynard Street, Halifax",R C Jane,,6,20,Residential,https://halifaxdevelopments.files.wordpress.com/2024/02/20240205_1252333879062558436971076.jpg?w=1024,https://halifaxdevelopments.ca/2024/02/06/the-delmore-4/,Halifax Regional Municiaplity development blog,$3.6M,
33,The Delmore,"2393 Maynard Street, Halifax",R C Jane,,6,20,Residential,https://halifaxdevelopments.files.wordpress.com/2024/01/20240114_1510314224262775114091921.jpg?w=1024,https://halifaxdevelopments.ca/2024/01/16/the-delmore-3/,Halifax Regional Municiaplity development blog,-1,
34,The Delmore,"2393 Maynard Street, Halifax",-1,,6,20,Residential,https://halifaxdevelopments.files.wordpress.com/2024/01/20240102_134738307139744229102647.jpg?w=1024,https://halifaxdevelopments.ca/2024/01/04/the-delmore-2/,Halifax Regional Municiaplity development blog,-1,
35,-1,2393 Maynard Street (@ Buddy Daye),-1,,5,-1,Residential,https://halifaxdevelopments.files.wordpress.com/2023/12/20231210_134714.jpg?w=1024,https://halifaxdevelopments.ca/2023/12/13/the-delmore/,Halifax Regional Municiaplity development blog,-1,
36,-1,2393 MAYNARD,-1,,-1,-1,-1,-1,-1,Halifax Regional Municiaplity development blog,-1,
37,The Edge,"51 Innovation Drive, Bedford",Not available,$15.1 M,6,66,Residential,https://halifaxdevelopments.files.wordpress.com/2024/03/20240303_1441018119891156646316657.jpg?w=1024,https://halifaxdevelopments.ca/2024/03/04/the-edge-2/,Halifax Regional Municiaplity development blog,,
38,The Edge,"51 Innovation Drive, Bedford",Not available,$15.1 M,6,66,Residential,https://halifaxdevelopments.files.wordpress.com/2024/01/20240120_155137945821532953383287.jpg?w=1024,https://halifaxdevelopments.ca/2024/01/22/the-edge/,Halifax Regional Municiaplity development blog,,
39,The Elevation on Robie,"5858 Macara Street, Halifax",Banc Group,,19,-1,Mixed Use,https://halifaxdevelopments.files.wordpress.com/2024/03/20240314_133745983787395456359902.jpg?w=1024,https://halifaxdevelopments.ca/2024/03/15/the-elevation-on-robie-10/,Halifax Regional Municiaplity development blog,-1,
40,The Elevation on Robie,"5858 Macara Street, Halifax",Banc Group,,19,-1,Mixed Use,https://halifaxdevelopments.files.wordpress.com/2024/02/20240227_1320462745539498079939545.jpg?w=1024,https://halifaxdevelopments.ca/2024/02/28/the-elevation-on-robie-9/,Halifax Regional Municiaplity development blog,-1,
41,The Elevation on Robie,"5858 Macara Street, Halifax",Banc Group,,19,-1,Mixed Use,https://halifaxdevelopments.files.wordpress.com/2023/12/20231223_1332277914910674856481179.jpg?w=1024,https://halifaxdevelopments.ca/2023/12/24/the-elevation-on-robie-8/,Halifax Regional Municiaplity development blog,-1,
42,The Elevation on Robie,"5858 Macara Street, Halifax",Banc Group,,19,-1,Mixed Use,https://halifaxdevelopments.files.wordpress.com/2023/12/20231209_133920.jpg?w=1024,https://halifaxdevelopments.ca/2023/12/10/the-elevation-on-robie-7/,Halifax Regional Municiaplity development blog,-1,
43,The Elevation on Robie,"5858 Macara Street, Halifax",Banc Group,,19,-1,Mixed Use,https://halifaxdevelopments.files.wordpress.com/2023/11/image.jpeg?w=640,https://halifaxdevelopments.ca/2023/11/21/the-elevation-on-robie-19-floors-residential/,Halifax Regional Municiaplity development blog,-1,
44,The Elmwood,"5185 South Street, Halifax",Unknown,$22 M,9,64,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2024/02/20240218_1605409197546817061296668.jpg?w=1024,https://halifaxdevelopments.ca/2024/02/20/the-elmwood-3/,Halifax Regional Municiaplity development blog,,
45,The Elmwood,"5185 South Street, Halifax",Galaxy Properties,-1,9,75,Mixed Use,https://halifaxdevelopments.files.wordpress.com/2024/01/20240108_1321325834024013263968746.jpg?w=1024,https://halifaxdevelopments.ca/2024/01/09/the-elmwood-2/,Halifax Regional Municiaplity development blog,,
46,The Elmwood,-1,-1,$22 M,9,75,-1,https://halifaxdevelopments.files.wordpress.com/2023/11/20231126_132320.jpg?w=1024,https://halifaxdevelopments.ca/2023/11/26/the-elmwood/,Halifax Regional Municiaplity development blog,,
47,The Elmwood,5185 South,-1,-1,-1,-1,-1,-1,-1,Halifax Regional Municiaplity development blog,,
48,The Eventide,"1540 Carlton Street, Halifax",Killam REIT,$22.0M,8,55,-1,https://halifaxdevelopments.files.wordpress.com/2024/03/20240317_1518483871132537488046510.jpg?w=1024,https://halifaxdevelopments.ca/2024/03/19/the-eventide-2/,Halifax Regional Municiaplity development blog,,
49,The Eventide,-1,-1,-1,-1,-1,-1,https://halifaxdevelopments.files.wordpress.com/2024/02/20240218_1539497448488537606837736.jpg?w=1024,https://halifaxdevelopments.ca/2024/02/19/the-eventide/,Halifax Regional Municiaplity development blog,,
50,Dec 31/23 Permits,-1,-1,-1,-1,-1,-1,https://halifaxdevelopments.files.wordpress.com/2023/12/20231231_1441013840722544762598587.jpg?w=1024,https://halifaxdevelopments.ca/2023/12/31/dec-31-23-permits/,Halifax Regional Municiaplity development blog,,
51,Marco | Builders of Atlantic Canada,-1,Killam REIT,-1,6,65,-1,-1,https://halifaxdevelopments.ca/2022/06/14/marco-builders-of-atlantic-canada/,Halifax Regional Municiaplity development blog,,
52,The Fairway,"3539 Joseph Howe Drive, Halifax",Kingsbrook Properties,$26.6 M,8,148,Residential,https://halifaxdevelopments.files.wordpress.com/2024/03/20240309_1657352435729705691873626.jpg?w=1024,https://halifaxdevelopments.ca/2024/03/10/the-fairway-4/,Halifax Regional Municiaplity development blog,,
53,The Fairway,"3539 Joseph Howe Drive, Halifax",Kingsbrook Properties,$26.6 M,8,148,Residential,https://halifaxdevelopments.files.wordpress.com/2024/01/20240128_1412495934711898135302557.jpg?w=1024,https://halifaxdevelopments.ca/2024/01/29/the-fairway-3/,Halifax Regional Municiaplity development blog,,
54,The Fairway,-1,Kingsbrook Properties,$26.6M,8,148,Residential,https://halifaxdevelopments.files.wordpress.com/2023/12/20231231_1540288795875992270578634.jpg?w=1024,https://halifaxdevelopments.ca/2024/01/01/the-fairway-2/,Halifax Regional Municiaplity development blog,,
55,The Fairway,-1,Kingsbrook Properties,$26.6M,8,148,Residential,https://halifaxdevelopments.files.wordpress.com/2023/12/20231216_140805541566227716588973.jpg?w=1024,https://halifaxdevelopments.ca/2023/12/16/the-fairway/,Halifax Regional Municiaplity development blog,,
56,The Finch,"22 Dawson Street, Dartmouth",Unknown,$19.8 M,7,110,1,https://halifaxdevelopments.files.wordpress.com/2024/02/20240229_1421047036745780732866239.jpg?w=1024,https://halifaxdevelopments.ca/2024/03/01/the-finch-4/,Halifax Regional Municiaplity development blog,,
57,The Finch,"22 Dawson Street, Dartmouth",Unknown,$19.8 M,7,110,1,https://halifaxdevelopments.files.wordpress.com/2024/02/20240213_131020214713821184242073.jpg?w=1024,https://halifaxdevelopments.ca/2024/02/15/the-finch-3/,Halifax Regional Municiaplity development blog,,
58,The Finch,"22 Dawson Street, Dartmouth",Unknown,-1,6,-1,-1,https://halifaxdevelopments.files.wordpress.com/2024/01/20240111_1418416026558082749555610.jpg?w=1024,https://halifaxdevelopments.ca/2024/01/13/the-finch-2/,Halifax Regional Municiaplity development blog,,
59,The Finch,"22 Dawson Street, Dartmouth",-1,$19.8M,7,110,1,https://halifaxdevelopments.files.wordpress.com/2023/12/20231207_142035.jpg?w=1024,https://halifaxdevelopments.ca/2023/12/08/the-finch/,Halifax Regional Municiaplity development blog,,
60,The Governor,1441 Hollis Street (@ Bishop),Killiam REIT,-1,6,12,Mixed Use,https://halifaxdevelopments.files.wordpress.com/2023/11/20231126_142410.jpg?w=1024,https://halifaxdevelopments.ca/2023/11/28/the-governor-3/,Halifax Regional Municiaplity development blog,,
61,The Governor,1451 Hollis,-1,-1,-1,-1,-1,-1,-1,Halifax Regional Municiaplity development blog,,
62,The Governor,1453 Hollis,-1,-1,-1,-1,-1,-1,-1,Halifax Regional Municiaplity development blog,,
63,Governor’s Plaza,-1,-1,-1,-1,-1,-1,-1,-1,Halifax Regional Municiaplity development blog,,
64,The Governor,-1,-1,-1,-1,-1,-1,-1,-1,Halifax Regional Municiaplity development blog,,
65,Greenfield Estates,"330 Broad Street, Bedford",Parkers Brook Homes,$14.7 M,5,72,1,https://halifaxdevelopments.files.wordpress.com/2024/02/20240211_1358326081553109676460866.jpg?w=1024,https://halifaxdevelopments.ca/2024/02/13/greenfield-estates-2/,Halifax Regional Municiaplity development blog,,
66,Greenfield Estates,"330 Broad Street, Bedford",Parkers Brook Homes,$14.7 M,5,72,1,https://halifaxdevelopments.files.wordpress.com/2024/01/20240120_1557222196661337376985748.jpg?w=1024,https://halifaxdevelopments.ca/2024/01/21/greenfield-estates/,Halifax Regional Municiaplity development blog,,
67,The Interchange,"3500 Joseph Howe Drive, Halifax",Banc Group,$42.8 M,13,324,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2024/03/20240309_1658404129067783173959433.jpg?w=1024,https://halifaxdevelopments.ca/2024/03/10/the-interchange-3/,Halifax Regional Municiaplity development blog,,
68,The Interchange,"3514 Joseph Howe Drive, Halifax",Banc Group,-1,12,-1,-1,https://halifaxdevelopments.files.wordpress.com/2023/12/20231216_1404314000074533781686775.jpg?w=1024,-1,Halifax Regional Municiaplity development blog,,
69,The Interchange,3512 Joe Howe,-1,-1,-1,-1,-1,-1,-1,Halifax Regional Municiaplity development blog,,
70,The Interchange,3514 Joseph Howe,-1,-1,-1,-1,-1,-1,-1,Halifax Regional Municiaplity development blog,,
71,I.W.K. Emergency Department,"University Avenue, Halifax",-1,-1,-1,-1,-1,https://halifaxdevelopments.files.wordpress.com/2023/12/20231231_1433134561585514962240691.jpg?w=1024,https://halifaxdevelopments.ca/2023/12/31/i-w-k-emergency-department/,Halifax Regional Municiaplity development blog,,
72,The Kevel at King’s Wharf,"16 King’s Wharf Place, Dartmouth",The Anchorage,$47.5M,27,220,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2024/02/20240221_1407427466796153839777738.jpg?w=1024,https://halifaxdevelopments.ca/2024/02/23/the-kevel-at-kings-wharf-5/,Halifax Regional Municiaplity development blog,,
73,The Kevel at King’s Wharf,"16 King’s Wharf Place, Dartmouth",The Anchorage,$47.5M,27,220,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2024/02/20240202_1346143083050734952697534.jpg?w=1024,https://halifaxdevelopments.ca/2024/02/03/the-kevel-at-kings-wharf-4/,Halifax Regional Municiaplity development blog,,
74,The Kevel at King’s Wharf,"16 King’s Wharf Place, Dartmouth",The Anchorage,$47.5M,27,220,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2024/01/20240124_1330113055701680847522353.jpg?w=1024,https://halifaxdevelopments.ca/2024/01/26/the-kevel-at-kings-wharf-3/,Halifax Regional Municiaplity development blog,,
75,The Kevel at King’s Wharf,26 King’s Wharf Place,The Anchorage,-1,27,-1,Mixed Use,https://halifaxdevelopments.files.wordpress.com/2024/01/20240105_1414026749130675030844544.jpg?w=1024,https://halifaxdevelopments.ca/2024/01/06/the-kevel-at-kings-wharf-2/,Halifax Regional Municiaplity development blog,,
76,The Kevel – King’s Wharf,26 King’s Wharf Place,The Anchorage,-1,27,-1,Mixed Use,https://halifaxdevelopments.files.wordpress.com/2023/12/20231221_1413386791905090448223827.jpg?w=1024,https://halifaxdevelopments.ca/2023/12/23/kings-wharf-8/,Halifax Regional Municiaplity development blog,,
77,The Kevel at King’s Wharf,26 King’s Wharf Place,The Anchorage,Building permit submitted for 15 floors / 95 units for Building ‘F’.,27,-1,Mixed Use,https://halifaxdevelopments.files.wordpress.com/2023/12/20231205_132551.jpg?w=1024,https://halifaxdevelopments.ca/2023/12/06/the-kevel-at-kings-wharf/,Halifax Regional Municiaplity development blog,,
78,Lancaster Villas,"4 Lancaster Drive, Dartmouth",Baker Drive Developments,,7,176,Residential,https://halifaxdevelopments.files.wordpress.com/2024/03/20240316_1313004357374162925119876.jpg?w=1024,https://halifaxdevelopments.ca/2024/03/17/lancaster-villas-4/,Halifax Regional Municiaplity development blog,44.0M,
79,Lancaster Villas,"4 Lancaster Drive, Dartmouth",Baker Drive Developments,,7,176,Residential,https://halifaxdevelopments.files.wordpress.com/2024/02/20240208_1432357509471757774370073.jpg?w=1024,https://halifaxdevelopments.ca/2024/02/09/lancaster-villas-3/,Halifax Regional Municiaplity development blog,44.0M,
80,Lancaster Villas,"4 & 6 Lancaster Drive, Dartmouth",Baker Drive Developments,,7,352,Residential,https://halifaxdevelopments.files.wordpress.com/2024/01/20240109_1357433038781477115452661.jpg?w=1024,https://halifaxdevelopments.ca/2024/01/11/lancaster-villas-2/,Halifax Regional Municiaplity development blog,-1,
81,Lancaster Villas,-1,Baker Drive Developments,,8,-1,Residential,https://halifaxdevelopments.files.wordpress.com/2023/12/20231206_140924.jpg?w=1024,https://halifaxdevelopments.ca/2023/12/07/lancaster-villas/,Halifax Regional Municiaplity development blog,-1,
